votesA,votesB,area,perimeter,pp_compactness,imp_flag,eg,win_count_a,win_count_b,total_votes,state_votes_a,state_votes_b,P_a,P_b,p_a,p_b,pOverP_a,pOverP_b,iteration,district,n,L,K,proportion_a,left_side,right_side,refined_left_side,refined_right_side
62,74,34.0,57,0.1314373653431825,1,0.3891358024691358,0,15,2025,900,1125,0.4444444444444444,0.5555555555555556,0.0,1.0,0,0.5555555555555556,0,2026,15,9,15,0.5,1.25,-0.9776846466740176,1.25,0.14325360238457255
62,74,34.0,43,0.23095727420227152,1,0.3891358024691358,0,15,2025,900,1125,0.4444444444444444,0.5555555555555556,0.0,1.0,0,0.5555555555555556,0,2029,15,9,15,0.5,1.25,-0.9776846466740176,1.25,0.14325360238457255
58,78,34.0,42,0.24208616780045353,1,0.3891358024691358,0,15,2025,900,1125,0.4444444444444444,0.5555555555555556,0.0,1.0,0,0.5555555555555556,0,2028,15,9,15,0.5,1.25,-0.9776846466740176,1.25,0.14325360238457255
58,78,34.0,51,0.16418300653594772,1,0.3891358024691358,0,15,2025,900,1125,0.4444444444444444,0.5555555555555556,0.0,1.0,0,0.5555555555555556,0,2027,15,9,15,0.5,1.25,-0.9776846466740176,1.25,0.14325360238457255
64,72,34.0,41,0.25403926234384294,1,0.3891358024691358,0,15,2025,900,1125,0.4444444444444444,0.5555555555555556,0.0,1.0,0,0.5555555555555556,0,2030,15,9,15,0.5,1.25,-0.9776846466740176,1.25,0.14325360238457255
60,76,34.0,52,0.15792899408284025,1,0.3891358024691358,0,15,2025,900,1125,0.4444444444444444,0.5555555555555556,0.0,1.0,0,0.5555555555555556,0,2031,15,9,15,0.5,1.25,-0.9776846466740176,1.25,0.14325360238457255
61,75,34.0,42,0.24208616780045353,1,0.3891358024691358,0,15,2025,900,1125,0.4444444444444444,0.5555555555555556,0.0,1.0,0,0.5555555555555556,0,2032,15,9,15,0.5,1.25,-0.9776846466740176,1.25,0.14325360238457255
63,73,34.0,55,0.1411702479338843,1,0.3891358024691358,0,15,2025,900,1125,0.4444444444444444,0.5555555555555556,0.0,1.0,0,0.5555555555555556,0,2033,15,9,15,0.5,1.25,-0.9776846466740176,1.25,0.14325360238457255
59,77,34.0,41,0.25403926234384294,1,0.3891358024691358,0,15,2025,900,1125,0.4444444444444444,0.5555555555555556,0.0,1.0,0,0.5555555555555556,0,2036,15,9,15,0.5,1.25,-0.9776846466740176,1.25,0.14325360238457255
56,80,34.0,46,0.2018147448015123,1,0.3891358024691358,0,15,2025,900,1125,0.4444444444444444,0.5555555555555556,0.0,1.0,0,0.5555555555555556,0,2034,15,9,15,0.5,1.25,-0.9776846466740176,1.25,0.14325360238457255
54,67,30.25,43,0.20378583017847485,1,0.3891358024691358,0,15,2025,900,1125,0.4444444444444444,0.5555555555555556,0.0,1.0,0,0.5555555555555556,0,2037,15,9,15,0.5,1.25,-0.9776846466740176,1.25,0.14325360238457255
63,73,34.0,44,0.22057851239669424,1,0.3891358024691358,0,15,2025,900,1125,0.4444444444444444,0.5555555555555556,0.0,1.0,0,0.5555555555555556,0,2035,15,9,15,0.5,1.25,-0.9776846466740176,1.25,0.14325360238457255
60,76,34.0,38,0.2957340720221607,1,0.3891358024691358,0,15,2025,900,1125,0.4444444444444444,0.5555555555555556,0.0,1.0,0,0.5555555555555556,0,2039,15,9,15,0.5,1.25,-0.9776846466740176,1.25,0.14325360238457255
59,77,34.0,42,0.24208616780045353,1,0.3891358024691358,0,15,2025,900,1125,0.4444444444444444,0.5555555555555556,0.0,1.0,0,0.5555555555555556,0,2038,15,9,15,0.5,1.25,-0.9776846466740176,1.25,0.14325360238457255
61,75,34.0,45,0.21088395061728396,1,0.3891358024691358,0,15,2025,900,1125,0.4444444444444444,0.5555555555555556,0.0,1.0,0,0.5555555555555556,0,2040,15,9,15,0.5,1.25,-0.9776846466740176,1.25,0.14325360238457255
57,69,31.5,53,0.1386116055535778,1,0.3891358024691358,0,15,2025,900,1125,0.4444444444444444,0.5555555555555556,0.0,1.0,0,0.5555555555555556,1,2026,15,9,15,0.5,1.25,-0.9776846466740176,1.25,0.14325360238457255
61,75,34.0,38,0.2957340720221607,1,0.3891358024691358,0,15,2025,900,1125,0.4444444444444444,0.5555555555555556,0.0,1.0,0,0.5555555555555556,1,2029,15,9,15,0.5,1.25,-0.9776846466740176,1.25,0.14325360238457255
59,77,34.0,43,0.23095727420227152,1,0.3891358024691358,0,15,2025,900,1125,0.4444444444444444,0.5555555555555556,0.0,1.0,0,0.5555555555555556,1,2028,15,9,15,0.5,1.25,-0.9776846466740176,1.25,0.14325360238457255
